domain,reachable,tls_versions,preferred_cipher,cert_subject_cn,cert_issuer,sig_alg,key_type,key_size,valid_from,valid_to,validity_days,ocsp_stapling,errors
mediasmart.io,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,mediasmart.io,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,10/10/2025,1/8/2026,90,unknown,
riachuelo.com.br,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,riachuelo.com.br,DigiCert Global G3 TLS ECC SHA384 2020 CA1,ecdsa-with-SHA384,ECDSA,secp256r1,8/8/2025,8/8/2026,365,unknown,
mailplus.co.uk,TRUE,TLSv1.3,TLS_AES_128_GCM_SHA256,mailplus.co.uk,Amazon RSA 2048 M03,sha256WithRSAEncryption,RSA,2048,7/24/2025,8/21/2026,393,unknown,
letsignit.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,letsignit.com,R13,sha256WithRSAEncryption,RSA,2048,10/11/2025,1/9/2026,90,unknown,
sysct.cz,FALSE,,,,,,,,,,,,[Errno 11001] getaddrinfo failed
bridgew.edu,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,*.bridgew.edu,DigiCert Global G2 TLS RSA SHA256 2020 CA1,sha256WithRSAEncryption,RSA,2048,6/26/2025,4/14/2026,292,unknown,
taxes.gov.il,FALSE,,,,,,,,,,,,[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1010)
cnycentral.com,TRUE,TLSv1.3,TLS_AES_128_GCM_SHA256,cnycentral.com,Amazon RSA 2048 M02,sha256WithRSAEncryption,RSA,2048,1/22/2025,2/21/2026,395,unknown,
zgkxchijue.xyz,FALSE,,,,,,,,,,,,[Errno 11001] getaddrinfo failed
merkle.io,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,merkle.io,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,10/27/2025,1/25/2026,90,unknown,
betterhelp.co.il,TRUE,TLSv1.3,TLS_AES_128_GCM_SHA256,betterhelp.com,Amazon RSA 2048 M02,sha256WithRSAEncryption,RSA,2048,1/23/2025,2/21/2026,394,unknown,
lattice.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,lattice.com,E8,ecdsa-with-SHA384,ECDSA,secp256r1,9/29/2025,12/28/2025,90,unknown,
pixelbin.io,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,pixelbin.io,WR3,sha256WithRSAEncryption,RSA,2048,9/25/2025,12/24/2025,90,unknown,
tonkosti.ru,TRUE,TLSv1.3,TLS_AES_128_GCM_SHA256,*.tonkosti.ru,GlobalSign RSA OV SSL CA 2018,sha256WithRSAEncryption,RSA,2048,7/31/2025,9/1/2026,397,unknown,
xxxvideo.sex,FALSE,,,,,,,,,,,,[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1010)
unilim.fr,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,*.unilim.fr,R13,sha256WithRSAEncryption,RSA,2048,11/17/2025,2/15/2026,90,unknown,
snipes.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,snipes.com,GandiCert,sha256WithRSAEncryption,ECDSA,secp256r1,5/19/2025,5/19/2026,365,unknown,
bookofra-slot.fr,FALSE,,,,,,,,,,,,[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1010)
azure-dns-3.cn,FALSE,,,,,,,,,,,,[Errno 11001] getaddrinfo failed
virtualtourist.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,virtualtourist.com,ZeroSSL ECC Domain Secure Site CA,ecdsa-with-SHA384,ECDSA,secp256r1,11/10/2025,2/8/2026,90,unknown,
hellobacsi.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,hellobacsi.com,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,11/9/2025,2/7/2026,90,unknown,
opodo.fr,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,opodo.fr,R13,sha256WithRSAEncryption,RSA,2048,10/13/2025,1/11/2026,90,unknown,
drawdown.org,TRUE,TLSv1.3,TLS_AES_128_GCM_SHA256,drawdown.org,R13,sha256WithRSAEncryption,RSA,2048,10/6/2025,1/4/2026,90,unknown,
aaronsw.com,FALSE,,,,,,,,,,,,[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1010)
prod-ffs.io,FALSE,,,,,,,,,,,,[Errno 11001] getaddrinfo failed
67hailhail.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,67hailhail.com,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,10/26/2025,1/24/2026,90,unknown,
akupintar.id,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,akupintar.id,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,10/23/2025,1/21/2026,90,unknown,
vkserfing.ru,TRUE,TLSv1.3,TLS_AES_128_GCM_SHA256,vkserfing.ru,R13,sha256WithRSAEncryption,RSA,2048,10/27/2025,1/25/2026,90,unknown,
tmdcloud.eu,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,tmdcloud.eu,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,10/29/2025,1/27/2026,90,unknown,
jansamarth.in,TRUE,TLSv1.3,TLS_AES_128_GCM_SHA256,jansamarth.in,GeoTrust TLS RSA CA G1,sha256WithRSAEncryption,RSA,2048,8/14/2025,9/14/2026,396,unknown,
girlswhocode.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,girlswhocode.com,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,10/23/2025,1/21/2026,90,unknown,
stanstedairport.com,TRUE,TLSv1.3,TLS_AES_128_GCM_SHA256,stn.live.mag-dxp.com,Amazon RSA 2048 M01,sha256WithRSAEncryption,RSA,2048,10/7/2025,11/5/2026,394,unknown,
lidl.hr,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,retail.lidl,SwissSign RSA TLS EV ICA 2022 - 1,sha256WithRSAEncryption,RSA,2048,8/22/2025,8/22/2026,365,unknown,
nowpayments.io,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,nowpayments.io,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,11/17/2025,2/15/2026,90,unknown,
vamosbets.net,FALSE,,,,,,,,,,,,[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1010)
fireworkanalytics.com,TRUE,TLSv1.3,TLS_AES_128_GCM_SHA256,fireworktv.com,Amazon RSA 2048 M02,sha256WithRSAEncryption,RSA,2048,8/7/2025,9/5/2026,394,unknown,
freeporncave.com,FALSE,,,,,,,,,,,,[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1010)
